gene_name	baseMean	log2FoldChange	padj	N1_1	N1_2	WT_1	WT_2
Nme3	218.37994627476	3.44235070371953	2.59768293260223e-18	360.558785689689	452.677133488227	31.4657733629009	45.3654549558253
Nsun3	113.133956512414	-1.7503416506393	0.0296374696055109	106.995606103261	50.0174640053949	203.62909142355	128.384521119472
Nucb2	195.339023624798	1.00154937771054	0.0015816962211286	335.117002061907	380.728570278881	152.111138425735	151.086258973413
Nudt21	260.752339379273	1.90139744551534	0.00593545541202438	441.798613351416	390.082499799474	100.487469771845	123.998910212589
Odf2	742.400600739388	-1.42710776741038	0.0398856755930353	401.812695363134	329.934845899688	627.896925171618	1304.01979618251
Pantr1	81.0202317765271	2.85280561257458	8.93032193940802e-11	238.242640670908	223.163476629467	39.5859729404237	26.2111517522546
Pbx2	1294.82814418391	-1.59760600193523	0.00571543758315171	524.864055117902	521.621947406274	1860.54072819992	1305.51698150653
Pced1b	306.617371948772	1.38718794500969	0.0252999325078973	440.699754746522	282.024198910003	91.2734037311508	150.275959913431
Pcyox1	4649.36898870717	1.82782969717078	1.4553918029458e-77	7701.46014714803	6944.43528279024	2163.69707788494	2186.68329398066
Pex2	550.592027431133	1.7241523926553	2.61061469466905e-07	812.681038640507	857.927895058401	198.549714404703	301.928669937558
Plac9b	89.183461339306	1.50199521777084	0.0146627913274664	81.2398276617274	147.868482482126	38.5709479932334	42.3410912921036
Prdm4	757.890913940966	4.18468613271299	0.00408678510444396	1420.37606498014	1467.26291927072	120.057507246161	31.6031819562062
Prrc2a	9691.2236647839	-1.6611025542385	0.000470708864899072	6644.52966673429	8696.77323580444	18965.0604629192	29610.562542159
Prrc2c	6723.54394114893	-1.24196004832213	0.00131639742360758	3013.60475376024	3576.56187629834	7531.89603326569	8751.23099188576
Pter	749.633264221243	4.15591528682714	0.000746419608262852	1444.43014650194	1559.05955669813	100.596889515482	69.1169709804131
Ptpra	3805.49677502454	2.7084983003199	0.0175440268212635	14568.0528638573	2438.70035502233	787.978445505609	1797.83138341814
Qars	306.193844649187	-1.42808132401631	0.00996978220442293	136.008250804465	191.412575482998	498.377249070463	380.061700407692
Rab8b	3688.4727679881	-1.8574349855562	1.7517991976743e-07	943.842492159844	1633.81065613687	5264.93440107636	4075.83409747559
Rabep1	2451.7037562698	-1.67464467891875	4.03734127757648e-14	1143.71093785023	1225.74399654588	3486.70596583245	4295.98466958635
Rinl	94.0550750249646	-1.01776041558095	0.0268997667045041	61.8502814790838	80.4510652715415	164.86106526999	122.553683340019
Rmnd5a	5476.66799432054	-2.3905413948092	0.00535047800101499	1736.46503435569	1602.31194363184	7311.57703653658	7506.27856717651
Rn7sk	50.4162502143543	1.12983689789057	0.0301299504693886	87.6294770283801	92.5311976268521	38.5709479932334	44.3573337345847
